
"31","6","0","0","0"
"40","22","0","0","0"
"21","28","0","0","0"
"4","36","0","0","0"
"43","3","0","0","0"
"7","25","0","0","0"
"33","41","0","0","0"
"36","34","0.0178571428571","0.0355334527259","1"
"34","8","0","0","0"
"15","30","0","0","0"
"37","13","0","0","0"
"24","14","0","0","0"
"13","20","0.0169491525424","0.0338061701891","1"
"3","2","0.0425531914894","0.0830454798537","2"
"28","10","0","0","0"
"31","15","0","0","0"
"1","40","0","0","0"
"40","29","0","0","0"
"21","37","0","0","0"
"4","35","0","0","0"
"8","38","0","0","0"
"7","22","0","0","0"
"29","37","0","0","0"
"33","34","0.013698630137","0.0271863623914","1"
"16","38","0.0512820512821","0.117851130198","2"
"36","41","0","0","0"
"41","34","0.0117647058824","0.0239114049929","1"
"22","12","0","0","0"
"34","3","0","0","0"
"24","21","0","0","0"
"38","31","0.0327868852459","0.0635000635001","2"
"3","11","0","0","0"
"28","1","0","0","0"
"1","33","0","0","0"
"40","4","0","0","0"
"4","42","0","0","0"
"7","15","0","0","0"
"16","29","0","0","0"
"41","43","0","0","0"
"22","7","0","0","0"
"12","41","0","0","0"
"34","26","0","0","0"
"24","28","0","0","0"
"10","19","0.0169491525424","0.0353553390593","1"
"13","6","0","0","0"
"38","22","0","0","0"
"25","3","0","0","0"
"28","24","0","0","0"
"40","11","0","0","0"
"4","17","0","0","0"
"26","34","0","0","0"
"7","4","0.259259259259","0.411764705882","7"
"16","20","0.047619047619","0.112687233964","2"
"19","1","0.0379746835443","0.0731925054711","3"
"22","30","0","0","0"
"12","32","0.0144927536232","0.0304149532336","1"
"34","21","0","0","0"
"17","43","0","0","0"
"10","26","0","0","0"
"38","9","0","0","0"
"25","4","0","0","0"
"28","23","0.046511627907","0.0980580675691","2"
"14","38","0.0178571428571","0.0353553390593","1"
"4","24","0","0","0"
"16","11","0.0714285714286","0.136082763488","1"
"19","6","0.0196078431373","0.0456435464588","1"
"41","21","0","0","0"
"22","17","0","0","0"
"5","39","0.0222222222222","0.0456435464588","1"
"37","33","0","0","0"
"10","5","0","0","0"
"35","23","0","0","0"
"25","13","0","0","0"
"14","41","0","0","0"
"4","7","0.259259259259","0.411764705882","7"
"29","9","0","0","0"
"16","2","0.0555555555556","0.123796892118","2"
"19","15","0","0","0"
"41","30","0","0","0"
"22","40","0","0","0"
"5","32","0.0131578947368","0.0266311820646","1"
"9","37","0","0","0"
"34","39","0.0208333333333","0.0435194139889","1"
"17","37","0","0","0"
"37","42","0.01","0.0243975018237","1"
"42","39","0.0105263157895","0.0279508497187","1"
"23","11","0","0","0"
"10","12","0.0487804878049","0.093250480824","2"
"35","28","0","0","0"
"25","22","0","0","0"
"1","13","0","0","0"
"39","24","0","0","0"
"4","14","0.0243902439024","0.0485071250073","1"
"29","2","0","0","0"
"19","20","0.119402985075","0.21380899353","8"
"2","36","0","0","0"
"41","7","0","0","0"
"22","35","0","0","0"
"5","41","0.0121951219512","0.0250784931288","1"
"30","35","0","0","0"
"17","30","0","0","0"
"32","8","0.0327868852459","0.0729324957489","2"
"13","42","0","0","0"
"35","5","0","0","0"
"25","31","0","0","0"
"11","28","0","0","0"
"1","6","0","0","0"
"39","17","0","0","0"
"26","6","0","0","0"
"29","27","0","0","0"
"19","29","0","0","0"
"41","8","0","0","0"
"5","18","0","0","0"
"30","42","0","0","0"
"17","23","0","0","0"
"20","4","0.04","0.0819920061691","2"
"42","41","0.316831683168","0.491436093467","32"
"23","25","0","0","0"
"32","15","0","0","0"
"13","35","0","0","0"
"35","10","0","0","0"
"11","21","0","0","0"
"14","2","0.0588235294118","0.111417202906","3"
"1","31","0.0428571428571","0.0831410993211","3"
"39","14","0.025","0.05","1"
"26","1","0","0","0"
"29","20","0","0","0"
"15","33","0","0","0"
"19","34","0","0","0"
"5","27","0.0140845070423","0.028171808491","1"
"27","34","0","0","0"
"17","8","0","0","0"
"20","3","0.0185185185185","0.0377964473009","1"
"42","16","0","0","0"
"23","22","0.129032258065","0.236524958396","4"
"6","42","0","0","0"
